"No.","Time","Source","Destination","Protocol","Length","Info"
"98","1.366751","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#24] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458240 TSecr=2042504522"
"99","1.388017","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#25] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458260 TSecr=2042504522"
"100","1.409411","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#26] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458281 TSecr=2042504522"
"101","1.429197","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#27] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458301 TSecr=2042504522"
"102","1.448681","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#28] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458321 TSecr=2042504522"
"103","1.467643","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#29] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458340 TSecr=2042504522"
"104","1.488681","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#30] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458360 TSecr=2042504522"
"105","1.508163","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#31] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458380 TSecr=2042504522"
"106","1.538432","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#32] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458405 TSecr=2042504522"
"107","1.558851","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#33] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458430 TSecr=2042504522"
"108","1.578215","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#34] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458445 TSecr=2042504522"
"109","1.586338","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#35] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458461 TSecr=2042504522"
"110","1.607477","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#36] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458480 TSecr=2042504522"
"111","1.616395","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 72#37] 22  >  64173 [ACK] Seq=1981 Ack=14925 Win=65728 Len=0 TSval=3458490 TSecr=2042504522"
"112","1.617230","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"113","1.617267","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"114","1.617279","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"115","1.637923","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1981 Ack=17789 Win=65728 Len=0 TSval=3458504 TSecr=2042504884"
"116","1.637943","172.16.3.2","172.16.2.2","MPTCP","74","22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458504 TSecr=2042504884"
"117","1.657849","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#1] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458525 TSecr=2042504884"
"118","1.666991","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#2] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458541 TSecr=2042504884"
"119","1.689280","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#3] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458560 TSecr=2042504884"
"120","1.696259","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#4] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458566 TSecr=2042504884"
"121","1.717739","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#5] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458590 TSecr=2042504884"
"122","1.738629","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#6] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458610 TSecr=2042504884"
"123","1.758242","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#7] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458625 TSecr=2042504884"
"124","1.778783","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#8] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458650 TSecr=2042504884"
"125","1.798744","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#9] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458666 TSecr=2042504884"
"126","1.817260","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"127","1.817295","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"128","1.817308","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"129","1.817739","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#10] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458690 TSecr=2042504884"
"130","1.825920","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 116#11] 22  >  64173 [ACK] Seq=1981 Ack=19221 Win=65728 Len=0 TSval=3458700 TSecr=2042504884"
"131","1.838449","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1981 Ack=22085 Win=65728 Len=0 TSval=3458703 TSecr=2042505084"
"132","1.845556","172.16.3.2","172.16.2.2","MPTCP","74","22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458719 TSecr=2042505084"
"133","1.868793","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#1] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458735 TSecr=2042505084"
"134","1.888808","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#2] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458761 TSecr=2042505084"
"135","1.908642","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#3] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458775 TSecr=2042505084"
"136","1.928649","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#4] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458800 TSecr=2042505084"
"137","1.936275","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#5] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458811 TSecr=2042505084"
"138","1.949039","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#6] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458815 TSecr=2042505084"
"139","1.968661","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#7] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458840 TSecr=2042505084"
