"No.","Time","Source","Destination","Protocol","Length","Info"
"365","1.232849","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 364#1] 22  >  18641 [ACK] Seq=2135 Ack=251583 Win=65728 Len=0 TSval=1458449603 TSecr=4060633822"
"366","1.233555","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"367","1.233595","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"368","1.233636","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"369","1.233661","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"370","1.233817","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"371","1.247307","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=254447 Win=65728 Len=0 TSval=1458449603 TSecr=4060633822"
"372","1.247715","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=257311 Win=65728 Len=0 TSval=1458449612 TSecr=4060633822"
"373","1.252281","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2135 Ack=258743 Win=65728 Len=0 TSval=1458449622 TSecr=4060633822"
"374","1.263975","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"375","1.263998","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"376","1.264015","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"377","1.264108","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"378","1.264129","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"379","1.264144","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"380","1.264231","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"381","1.264252","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"382","1.264267","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"383","1.264332","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"384","1.264348","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"385","1.266880","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=261607 Win=65728 Len=0 TSval=1458449622 TSecr=4060633833"
"386","1.267281","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=264471 Win=65728 Len=0 TSval=1458449632 TSecr=4060633833"
"387","1.267514","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2135 Ack=265903 Win=65728 Len=0 TSval=1458449632 TSecr=4060633833"
"388","1.267996","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"389","1.268011","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"390","1.268022","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"391","1.268034","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"392","1.268065","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"393","1.268083","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
